Crop,N,P,K,pH,Rainfall,Temperature,Humidity,Season
Cotton,73,45,40,6.91,121.39,25.59,54.19,Kharif
Sugarcane,132,49,78,6.3,133.16,26.8,66.84,Zaid
Cotton,68,47,40,5.89,80.7,32.29,47.42,Kharif
Cotton,76,25,55,5.91,61.71,25.19,44.53,Kharif
Sugarcane,111,58,69,7.32,177.69,22.36,74.54,Zaid
Wheat,73,55,51,7.44,72.85,21.48,42.65,Rabi
Maize,78,46,63,5.85,94.62,22.01,64.51,Kharif
Cotton,58,45,48,7.08,63.42,27.08,40.85,Kharif
Wheat,88,47,33,6.25,60.51,24.58,50.32,Rabi
Maize,101,44,59,6.15,146.34,22.71,69.45,Zaid
Millet,65,45,37,6.0,78.17,22.22,51.54,Kharif
Sugarcane,110,65,57,7.34,237.1,23.36,78.82,Zaid
Sugarcane,113,64,48,6.2,140.12,29.1,80.42,Zaid
Cotton,61,34,27,6.57,142.08,32.95,46.13,Kharif
Sugarcane,127,52,69,6.43,235.39,31.61,63.81,Kharif
Wheat,78,48,59,6.37,85.39,13.57,54.48,Rabi
Millet,51,36,34,5.42,68.0,24.48,38.12,Kharif
Sugarcane,92,55,41,6.74,183.16,24.83,60.19,Zaid
Rice,106,56,78,5.7,166.92,30.37,80.34,Kharif
Cotton,74,50,49,7.26,129.22,21.73,51.27,Kharif
Sugarcane,141,52,53,7.44,179.38,30.79,84.18,Kharif
Cotton,60,40,53,6.8,88.58,32.67,44.28,Kharif
Wheat,62,43,45,6.69,94.06,20.93,43.57,Rabi
Rice,101,64,44,6.29,245.42,25.1,72.94,Kharif
Wheat,65,51,56,7.08,59.8,19.56,53.27,Rabi
Rice,113,55,47,5.53,271.66,26.66,86.94,Kharif
Rice,103,68,74,5.51,246.63,33.74,78.88,Kharif
Wheat,74,43,50,6.68,96.35,10.53,42.18,Rabi
Millet,39,36,48,6.29,98.36,20.48,48.05,Kharif
Cotton,79,30,32,7.14,128.34,21.14,40.19,Kharif
Rice,80,46,65,5.72,166.43,22.25,87.36,Kharif
Sugarcane,145,72,66,6.93,127.17,23.85,75.98,Zaid
Wheat,62,39,58,7.06,98.93,11.31,45.71,Rabi
Cotton,69,55,43,6.67,123.45,31.57,41.89,Kharif
Cotton,87,48,44,6.42,143.91,33.98,54.23,Kharif
Rice,96,44,56,6.32,213.12,24.1,71.21,Kharif
Maize,73,40,38,5.98,175.03,22.93,69.6,Zaid
Rice,100,62,69,6.47,245.3,33.54,74.98,Kharif
Sugarcane,148,74,61,6.89,130.24,29.17,79.18,Zaid
Cotton,69,53,28,7.47,96.91,21.35,48.38,Kharif
Wheat,83,42,52,7.41,113.67,19.87,53.65,Rabi
Maize,70,45,38,6.89,148.96,23.62,52.09,Zaid
Maize,82,51,53,6.54,121.17,20.14,63.07,Zaid
Cotton,67,55,54,6.67,141.39,28.42,53.83,Kharif
Cotton,75,32,48,6.8,79.46,30.37,44.23,Kharif
Sugarcane,122,80,53,7.2,149.06,24.52,70.04,Kharif
Cotton,58,46,42,5.95,94.36,33.15,50.24,Kharif
Maize,96,39,50,6.01,178.71,28.42,68.27,Zaid
Maize,88,54,47,6.98,140.98,24.66,63.65,Zaid
Rice,92,59,54,5.73,288.54,32.78,76.35,Kharif
Maize,77,52,44,6.04,156.75,21.92,51.3,Kharif
Maize,75,58,56,6.98,170.68,29.57,50.47,Zaid
Wheat,78,45,53,6.13,102.26,10.19,54.62,Rabi
Millet,48,24,28,6.95,73.1,20.9,51.83,Kharif
Sugarcane,136,54,52,6.33,219.29,22.69,72.27,Kharif
Millet,31,24,41,6.51,43.04,25.91,51.31,Kharif
Wheat,89,47,31,6.53,94.8,21.09,55.82,Rabi
Millet,32,21,22,5.7,42.27,31.32,34.89,Kharif
Maize,94,36,55,6.55,165.74,20.68,50.55,Kharif
Maize,96,48,54,6.33,141.19,21.87,57.68,Kharif
Sugarcane,142,64,66,6.35,163.3,33.51,78.34,Kharif
Millet,63,23,44,6.3,47.58,23.98,30.5,Kharif
Sugarcane,133,78,67,7.21,196.13,20.6,66.48,Zaid
Sugarcane,120,79,80,6.25,174.69,22.56,75.77,Kharif
Sugarcane,112,75,54,6.36,124.88,32.75,72.25,Zaid
Wheat,82,55,30,6.17,70.95,20.38,49.54,Rabi
Rice,97,61,71,6.49,298.69,28.83,85.03,Kharif
Cotton,64,39,27,6.34,144.16,31.41,54.15,Kharif
Millet,51,25,42,5.21,72.28,28.82,52.09,Kharif
Millet,60,44,42,6.55,64.89,30.0,40.04,Kharif
Millet,52,38,38,6.87,59.64,24.35,54.25,Kharif
Wheat,63,45,54,6.44,87.24,14.7,45.2,Rabi
Sugarcane,110,69,59,6.13,182.61,26.4,80.15,Kharif
Sugarcane,106,67,71,6.45,170.99,21.1,62.97,Zaid
Wheat,64,57,33,6.38,72.63,19.5,48.81,Rabi
Cotton,62,45,48,5.81,127.3,28.33,56.32,Kharif
Cotton,83,39,43,7.36,76.72,24.85,41.87,Kharif
Cotton,78,48,34,6.86,144.32,24.48,46.9,Kharif
Cotton,90,26,29,6.64,97.45,25.55,51.7,Kharif
Sugarcane,110,80,59,6.88,167.52,34.91,71.03,Zaid
Millet,47,42,47,5.13,91.23,27.07,36.5,Kharif
Cotton,70,28,34,6.29,130.24,22.01,53.05,Kharif
Wheat,85,37,43,7.39,104.46,13.29,53.05,Rabi
Sugarcane,102,57,57,7.05,209.79,29.2,61.0,Zaid
Rice,119,59,72,6.26,288.97,22.58,75.61,Kharif
Cotton,74,46,51,6.93,74.26,21.34,47.48,Kharif
Rice,118,49,72,6.58,212.14,29.5,83.29,Kharif
Rice,100,55,80,6.56,212.14,24.82,86.51,Kharif
Sugarcane,148,57,63,7.44,217.48,23.32,67.38,Zaid
Sugarcane,94,50,73,7.0,233.88,32.48,68.64,Zaid
Cotton,86,45,31,6.95,87.4,34.34,55.49,Kharif
Wheat,77,39,56,6.46,70.68,19.37,42.7,Rabi
Rice,91,69,45,5.97,282.46,26.35,89.11,Kharif
Rice,84,41,55,6.3,226.87,31.83,79.41,Kharif
Rice,85,70,45,6.72,240.21,24.2,85.26,Kharif
Wheat,79,46,30,6.32,85.89,13.34,44.5,Rabi
Rice,85,40,67,6.05,169.66,22.0,89.36,Kharif
Maize,71,63,62,6.12,131.24,25.15,58.36,Zaid
Rice,107,54,49,6.67,293.33,30.78,83.83,Kharif
Rice,102,53,78,5.62,294.54,34.15,81.16,Kharif
Wheat,80,51,52,6.01,107.6,16.97,49.26,Rabi
Sugarcane,116,70,51,6.42,170.17,26.47,62.61,Zaid
Rice,109,43,48,6.47,220.53,33.87,77.07,Kharif
Maize,88,56,52,6.73,147.82,24.32,68.21,Zaid
Rice,119,62,46,6.18,190.35,22.43,81.14,Kharif
Maize,94,36,35,6.23,98.67,24.02,63.27,Zaid
Wheat,84,34,58,7.3,115.09,21.91,48.52,Rabi
Millet,68,30,29,6.07,50.22,25.27,53.19,Kharif
Cotton,50,38,35,6.21,144.08,26.16,40.8,Kharif
Maize,105,38,42,6.08,134.58,23.4,50.85,Kharif
Sugarcane,125,75,41,6.06,199.97,24.47,77.19,Kharif
Cotton,55,25,29,6.12,109.57,31.83,54.06,Kharif
Millet,63,44,41,6.89,45.64,21.98,49.14,Kharif
Maize,91,61,40,6.55,128.32,22.05,54.78,Zaid
Maize,81,41,43,6.57,150.55,18.09,59.01,Zaid
Wheat,60,54,47,6.2,52.31,17.39,48.96,Rabi
Rice,117,43,54,6.19,176.63,20.74,70.44,Kharif
Maize,73,37,62,6.71,133.02,23.16,59.12,Zaid
Sugarcane,112,51,44,7.33,234.98,26.91,77.52,Zaid
Maize,73,65,55,6.36,129.84,21.55,50.97,Kharif
Cotton,68,36,35,6.76,79.3,32.41,51.25,Kharif
Sugarcane,125,52,72,6.21,183.22,32.69,62.52,Zaid
Rice,110,59,75,6.37,253.0,30.62,87.82,Kharif
Maize,102,35,54,6.45,86.25,22.01,67.66,Kharif
Maize,74,45,40,6.1,103.66,27.95,69.7,Kharif
Wheat,67,51,53,7.4,94.01,17.6,52.41,Rabi
Maize,82,51,64,6.65,152.2,24.76,64.0,Kharif
Cotton,55,43,25,6.96,90.86,33.87,50.05,Kharif
Rice,81,55,61,6.39,153.86,20.11,72.28,Kharif
Cotton,86,49,36,7.14,72.85,23.13,57.27,Kharif
Sugarcane,132,49,54,7.35,231.43,25.66,72.27,Kharif
Rice,104,46,78,6.1,293.03,28.53,83.92,Kharif
Maize,71,38,49,6.45,172.12,23.35,63.66,Zaid
Rice,113,58,53,5.59,216.04,29.74,74.87,Kharif
Wheat,76,32,59,6.54,94.24,12.01,47.14,Rabi
Wheat,63,41,35,7.35,115.44,19.91,46.06,Rabi
Millet,43,37,46,5.34,53.04,27.84,52.15,Kharif
Millet,65,29,41,6.42,88.29,29.55,38.94,Kharif
Cotton,70,48,37,7.01,107.16,30.1,47.13,Kharif
Sugarcane,111,79,75,7.16,140.21,29.36,81.99,Kharif
Maize,99,49,47,6.92,166.8,27.24,54.19,Zaid
Maize,87,38,63,6.33,117.06,26.42,51.16,Zaid
Wheat,81,38,40,6.95,68.87,19.78,49.14,Rabi
Wheat,92,55,51,7.29,56.8,10.06,53.74,Rabi
Rice,120,51,78,6.23,249.51,25.68,88.43,Kharif
Cotton,90,32,31,7.02,110.64,27.61,56.47,Kharif
Rice,120,44,60,6.15,245.25,20.43,74.95,Kharif
Maize,106,61,35,6.45,163.16,21.12,52.48,Kharif
Cotton,62,42,45,5.83,95.54,30.66,44.2,Kharif
Sugarcane,91,54,41,6.59,129.1,22.05,74.93,Zaid
Rice,104,44,75,6.29,241.31,21.45,83.54,Kharif
Millet,60,26,22,5.62,40.15,27.78,46.94,Kharif
Wheat,71,43,54,6.12,111.66,14.66,44.61,Rabi
Maize,95,59,46,6.09,90.36,29.55,54.95,Zaid
Millet,43,25,37,6.79,74.8,24.22,42.83,Kharif
Millet,56,43,29,6.23,44.81,30.93,41.51,Kharif
Rice,97,67,77,6.0,234.29,34.22,83.03,Kharif
Maize,79,65,59,6.6,119.38,28.93,52.59,Kharif
Maize,83,57,50,6.81,172.5,26.03,52.07,Zaid
Cotton,75,29,39,6.71,113.26,26.77,54.11,Kharif
Millet,42,44,26,5.09,73.22,20.48,52.52,Kharif
Millet,43,27,43,6.95,85.19,29.2,43.22,Kharif
Maize,92,60,40,5.98,104.57,26.49,63.14,Kharif
Rice,97,66,41,6.38,190.77,34.56,75.47,Kharif
Wheat,74,47,42,7.46,93.54,17.36,57.39,Rabi
Rice,105,57,46,6.2,276.1,32.91,86.7,Kharif
Millet,30,44,35,6.23,80.05,24.02,47.32,Kharif
Sugarcane,145,78,59,6.84,162.21,31.78,78.42,Zaid
Wheat,74,41,45,6.17,71.75,18.63,47.99,Rabi
Wheat,83,42,58,6.18,57.37,24.35,55.58,Rabi
Rice,88,63,78,6.75,190.34,23.96,81.37,Kharif
Wheat,96,38,33,6.19,68.63,16.74,47.2,Rabi
Wheat,69,45,35,6.97,87.75,11.75,57.76,Rabi
Wheat,69,37,41,6.84,65.46,23.26,47.06,Rabi
Millet,66,48,37,6.25,40.74,22.73,41.3,Kharif
Maize,84,56,57,6.75,135.57,25.87,66.22,Kharif
Maize,90,57,45,6.0,174.74,20.45,69.83,Zaid
Millet,62,27,35,5.34,74.44,27.23,42.27,Kharif
Cotton,56,34,54,6.76,99.42,34.56,40.32,Kharif
Rice,92,67,56,5.59,212.44,32.08,87.17,Kharif
Sugarcane,111,44,76,7.27,187.73,34.24,77.71,Kharif
Millet,53,28,32,6.08,82.06,28.76,36.33,Kharif
Millet,48,38,40,6.82,87.85,27.47,54.44,Kharif
Sugarcane,93,75,60,7.42,195.84,25.86,61.11,Kharif
Millet,62,24,37,6.9,49.26,26.54,34.67,Kharif
Millet,44,40,35,5.4,91.97,29.41,53.78,Kharif
Cotton,51,49,28,7.5,133.01,32.64,52.42,Kharif
Sugarcane,127,53,58,7.29,170.59,28.69,64.4,Zaid
Sugarcane,144,74,49,6.83,176.77,20.02,65.75,Kharif
Maize,108,61,59,6.09,83.99,21.41,59.86,Kharif
Millet,34,21,28,5.13,74.7,24.96,44.99,Kharif
Millet,53,23,24,5.02,43.75,30.5,38.84,Kharif
Cotton,59,27,41,5.58,141.59,24.26,57.88,Kharif
Sugarcane,110,66,40,7.15,123.3,33.93,70.2,Zaid
Sugarcane,95,53,49,7.22,214.11,33.96,84.0,Zaid
Millet,54,30,42,5.13,49.93,21.54,40.9,Kharif
Maize,95,47,46,6.38,131.91,29.82,51.31,Kharif
Maize,101,38,54,6.62,177.62,27.3,50.2,Kharif
Sugarcane,93,65,48,6.98,192.08,20.01,63.14,Zaid
Cotton,73,48,43,6.61,107.45,28.14,50.35,Kharif
Wheat,68,47,45,7.1,96.74,21.57,53.2,Rabi
Cotton,87,51,26,7.38,80.11,27.61,47.14,Kharif
Wheat,79,59,32,6.43,82.43,23.12,50.31,Rabi
Wheat,91,50,34,6.15,56.44,19.97,43.13,Rabi
Millet,48,31,27,5.78,45.11,28.92,52.13,Kharif
Maize,87,65,44,6.48,139.61,25.82,60.5,Zaid
Cotton,90,51,43,7.33,86.06,21.19,48.78,Kharif
Maize,95,52,35,6.78,166.53,24.29,66.51,Kharif
Wheat,92,36,43,7.3,89.68,17.32,54.71,Rabi
Sugarcane,126,77,73,6.06,128.55,26.76,67.78,Zaid
Rice,86,68,70,5.89,218.6,31.21,70.36,Kharif
Wheat,91,55,45,6.32,55.49,18.09,52.76,Rabi
Cotton,53,36,53,5.94,63.65,23.59,56.37,Kharif
Wheat,61,36,58,6.19,79.42,15.01,43.56,Rabi
Cotton,63,27,42,7.32,129.47,24.53,46.47,Kharif
Maize,97,56,44,6.44,145.13,24.23,58.27,Kharif
Maize,100,43,47,5.92,173.92,28.4,60.3,Kharif
Cotton,65,34,30,7.09,114.84,33.29,54.26,Kharif
Millet,51,48,49,5.15,79.54,25.84,47.16,Kharif
Maize,80,56,64,6.02,157.54,26.99,68.94,Kharif
Millet,65,22,36,6.81,47.42,28.04,49.89,Kharif
Millet,55,43,24,5.22,73.61,23.97,54.28,Kharif
Rice,107,69,70,5.69,160.09,22.05,72.73,Kharif
Millet,41,41,34,5.11,47.69,23.63,43.83,Kharif
Sugarcane,124,65,48,6.16,147.76,24.31,79.65,Kharif
Rice,110,58,58,6.65,191.25,22.01,72.08,Kharif
Rice,98,54,74,6.63,190.16,29.4,85.76,Kharif
Cotton,83,34,36,6.95,146.38,32.9,56.44,Kharif
Millet,52,26,40,6.35,99.67,27.42,40.37,Kharif
Wheat,85,47,44,6.03,102.96,11.79,58.47,Rabi
Cotton,90,39,25,5.73,113.58,23.99,50.84,Kharif
Wheat,77,52,49,7.06,70.56,11.98,42.64,Rabi
Wheat,97,36,47,6.27,87.31,14.62,49.18,Rabi
Cotton,62,43,27,6.07,132.32,28.81,43.23,Kharif
Cotton,82,52,44,6.13,83.59,29.72,56.26,Kharif
Rice,99,57,67,6.07,209.28,29.58,71.74,Kharif
Sugarcane,107,44,50,6.59,204.3,25.08,74.11,Zaid
Rice,96,42,42,6.04,216.41,21.19,80.52,Kharif
Cotton,66,43,28,6.3,99.18,21.77,55.5,Kharif
Cotton,66,39,47,6.92,116.07,31.77,46.28,Kharif
Rice,94,59,57,6.29,284.04,33.36,87.86,Kharif
Rice,109,58,71,5.8,274.68,25.13,79.28,Kharif
Sugarcane,142,63,64,7.33,201.6,28.0,69.78,Kharif
Wheat,80,33,58,7.22,58.42,24.52,43.62,Rabi
Cotton,69,27,49,6.92,124.48,25.75,55.08,Kharif
Cotton,62,29,40,5.97,118.08,25.87,57.35,Kharif
Rice,97,59,55,6.65,270.93,34.76,72.39,Kharif
Wheat,83,30,58,6.01,108.06,15.76,52.46,Rabi
Maize,102,54,45,6.45,100.86,25.5,52.19,Kharif
Rice,90,65,55,6.47,190.97,20.73,71.12,Kharif
Sugarcane,132,45,64,6.81,218.5,32.59,77.34,Kharif
Maize,95,55,44,5.89,115.37,21.06,66.99,Kharif
Sugarcane,98,55,67,6.41,131.46,32.01,81.71,Kharif
Cotton,57,49,45,6.77,80.4,22.31,45.35,Kharif
Wheat,86,37,31,7.16,61.84,15.76,54.1,Rabi
Wheat,95,37,47,6.85,98.38,15.35,47.54,Rabi
Wheat,75,48,49,6.92,87.12,13.17,49.76,Rabi
Sugarcane,121,44,58,7.01,147.59,22.11,61.98,Zaid
Rice,101,68,65,6.68,273.83,27.88,75.14,Kharif
Rice,89,52,44,5.95,220.05,27.47,73.78,Kharif
Cotton,73,51,27,6.41,87.7,26.88,54.65,Kharif
Cotton,80,44,37,6.45,109.97,25.08,50.19,Kharif
Rice,95,45,59,5.64,267.74,32.38,70.38,Kharif
Millet,51,33,42,5.19,99.88,27.39,40.02,Kharif
Sugarcane,137,80,77,7.08,138.68,28.29,62.4,Kharif
Millet,37,30,36,5.59,99.28,29.43,38.03,Kharif
Rice,81,69,71,6.7,273.45,21.91,71.33,Kharif
Rice,93,52,46,6.69,232.87,22.39,85.41,Kharif
Sugarcane,105,56,68,6.75,169.43,30.29,61.02,Kharif
Sugarcane,90,66,70,6.31,213.25,32.53,81.23,Zaid
Cotton,90,51,49,7.23,114.94,34.76,57.01,Kharif
Millet,41,34,34,6.83,47.07,26.21,51.42,Kharif
Wheat,74,58,37,6.2,110.99,18.37,46.94,Rabi
Cotton,59,28,43,7.07,99.68,34.78,50.71,Kharif
Sugarcane,142,73,59,7.3,147.7,20.97,66.24,Zaid
Cotton,52,45,55,5.5,102.49,24.72,46.72,Kharif
Rice,99,50,79,5.7,198.02,32.59,71.64,Kharif
Rice,113,59,70,5.66,226.42,27.75,77.56,Kharif
Rice,101,56,48,6.3,204.4,31.54,83.85,Kharif
Rice,119,43,58,5.72,253.15,26.98,72.27,Kharif
Wheat,93,60,57,6.51,70.04,15.34,54.29,Rabi
Cotton,65,51,30,5.94,132.48,30.19,55.63,Kharif
Wheat,79,53,42,7.08,119.24,18.95,40.8,Rabi
Wheat,84,59,32,7.31,117.21,19.19,57.89,Rabi
Rice,94,46,63,6.11,163.41,32.37,72.38,Kharif
Millet,38,28,50,6.14,49.95,25.24,33.47,Kharif
Cotton,72,36,34,5.5,64.36,32.45,52.39,Kharif
Rice,102,43,52,5.91,242.53,29.98,70.53,Kharif
Wheat,98,38,31,6.2,50.72,21.54,58.06,Rabi
Millet,51,48,40,6.03,80.47,27.77,48.82,Kharif
Maize,73,43,45,6.41,174.99,29.02,65.01,Kharif
Maize,101,42,37,6.06,141.73,28.99,65.0,Zaid
Wheat,96,54,54,6.36,77.25,24.95,55.2,Rabi
Wheat,79,57,52,7.48,119.37,21.99,49.46,Rabi
Rice,84,59,74,6.09,155.18,33.99,70.51,Kharif
Millet,53,50,37,6.92,85.08,27.45,35.12,Kharif
Millet,35,40,32,6.87,81.41,31.15,44.39,Kharif
Millet,53,28,36,7.0,70.19,28.35,34.02,Kharif
Cotton,66,32,51,5.7,106.37,21.02,48.32,Kharif
Wheat,67,59,32,6.83,109.66,14.43,51.34,Rabi
Wheat,83,44,36,6.38,82.43,17.22,54.87,Rabi
Cotton,82,48,40,7.33,147.62,24.79,44.04,Kharif
Millet,52,45,45,5.59,90.23,29.73,52.38,Kharif
Rice,93,52,69,5.81,273.46,20.26,85.95,Kharif
Wheat,71,52,57,6.32,90.34,20.51,54.29,Rabi
Maize,89,56,61,6.51,113.03,20.76,66.73,Kharif
Rice,120,53,46,6.6,280.7,23.29,78.78,Kharif
Rice,87,44,71,6.13,294.01,28.88,87.08,Kharif
Wheat,83,38,47,6.24,70.36,19.25,41.23,Rabi
Millet,31,27,23,5.32,62.9,26.69,52.04,Kharif
Maize,109,48,42,6.56,124.17,19.51,61.1,Kharif
Cotton,69,26,48,6.01,68.85,26.98,58.54,Kharif
Cotton,77,44,46,6.82,93.87,27.08,49.1,Kharif
Sugarcane,105,61,56,6.6,210.47,30.42,69.2,Kharif
Rice,104,42,42,5.54,207.07,28.6,80.43,Kharif
Wheat,72,47,57,7.18,65.41,17.28,47.87,Rabi
Rice,84,67,56,5.59,250.41,24.18,76.2,Kharif
Millet,61,31,25,6.88,94.35,30.44,32.66,Kharif
Millet,33,38,49,6.94,76.29,23.93,50.44,Kharif
Maize,86,38,46,6.97,176.77,19.77,60.99,Kharif
Cotton,56,46,50,6.03,82.08,34.7,45.07,Kharif
Wheat,72,53,34,7.32,60.7,18.82,52.82,Rabi
Sugarcane,91,75,72,7.39,195.15,25.55,68.04,Zaid
Rice,108,70,69,5.7,279.17,29.13,76.26,Kharif
Maize,95,54,44,6.45,133.92,20.96,69.64,Zaid
Wheat,76,42,44,7.37,109.44,15.75,42.9,Rabi
Cotton,79,38,46,5.7,99.25,30.11,52.51,Kharif
Rice,95,65,45,5.56,169.27,28.56,89.62,Kharif
Maize,90,46,37,6.57,132.82,18.35,61.58,Zaid
Maize,110,55,65,6.55,114.13,22.9,64.22,Kharif
Millet,59,23,21,5.38,94.7,24.97,30.28,Kharif
Cotton,64,29,27,5.75,146.39,28.86,49.39,Kharif
Maize,78,63,47,6.35,103.23,25.02,69.97,Kharif
Sugarcane,97,79,69,7.05,193.43,34.5,78.34,Kharif
Millet,36,49,26,6.36,50.64,27.79,50.64,Kharif
Wheat,94,48,34,6.75,54.37,16.79,52.66,Rabi
Wheat,95,47,35,7.3,93.78,12.33,52.58,Rabi
Sugarcane,102,41,54,6.17,136.22,20.68,65.85,Kharif
Rice,96,48,59,6.74,189.51,21.38,80.82,Kharif
Cotton,64,30,42,7.3,121.59,21.95,43.94,Kharif
Cotton,73,28,37,5.82,74.15,33.67,43.32,Kharif
Maize,78,52,49,6.86,162.73,21.84,55.13,Zaid
Rice,100,60,61,5.85,261.05,31.34,81.97,Kharif
Cotton,89,30,42,5.85,124.88,21.6,46.64,Kharif
Cotton,53,34,34,5.84,88.7,34.76,55.59,Kharif
Rice,103,59,71,5.88,256.42,30.11,82.2,Kharif
Wheat,68,39,60,6.5,71.87,11.17,56.05,Rabi
Cotton,54,47,35,6.7,63.12,22.48,47.29,Kharif
Rice,118,43,47,6.26,157.18,20.01,82.79,Kharif
Sugarcane,140,70,58,7.33,139.14,22.72,81.92,Zaid
Wheat,62,47,38,6.12,112.69,24.35,57.15,Rabi
Millet,69,49,48,6.28,65.89,25.06,40.78,Kharif
Rice,92,45,70,5.7,201.77,26.31,84.04,Kharif
Sugarcane,128,64,76,7.37,239.78,27.95,60.79,Zaid
Wheat,76,39,36,6.7,103.13,11.13,50.18,Rabi
Wheat,76,35,30,7.01,86.79,14.88,57.46,Rabi
Wheat,85,46,39,6.96,114.42,17.62,54.45,Rabi
Cotton,86,39,37,6.72,111.6,22.83,48.74,Kharif
Wheat,60,54,38,6.93,112.64,15.49,56.57,Rabi
Wheat,82,51,48,6.16,72.5,17.7,53.0,Rabi
Rice,94,67,55,5.61,218.83,25.18,82.0,Kharif
Wheat,92,43,54,6.37,68.53,16.54,57.83,Rabi
Millet,52,26,38,6.09,90.03,28.13,53.19,Kharif
Rice,119,68,62,6.38,164.3,31.74,82.2,Kharif
Sugarcane,91,62,50,6.41,204.87,26.5,82.34,Kharif
Maize,75,50,57,6.39,176.61,20.1,56.32,Zaid
Cotton,90,33,49,6.47,74.59,27.65,56.95,Kharif
Rice,96,65,65,5.72,265.85,33.81,73.38,Kharif
Rice,89,59,45,5.88,217.32,31.04,70.88,Kharif
Sugarcane,113,48,56,6.94,164.14,30.86,65.91,Zaid
Sugarcane,122,59,73,6.3,124.83,26.17,77.68,Kharif
Rice,100,58,40,6.26,184.45,23.11,88.84,Kharif
Millet,37,35,37,6.83,76.89,23.59,47.0,Kharif
Millet,65,47,47,6.63,75.32,20.1,50.8,Kharif
Wheat,60,49,55,7.26,65.32,22.62,44.73,Rabi
Cotton,78,29,28,7.27,137.46,22.39,42.51,Kharif
Wheat,99,41,52,6.69,80.1,18.29,51.93,Rabi
Cotton,66,49,30,6.91,142.68,32.28,48.96,Kharif
Wheat,94,57,36,6.87,117.79,23.3,40.87,Rabi
Maize,82,40,51,6.14,157.34,18.1,57.65,Kharif
Millet,41,30,43,6.08,78.77,28.75,36.17,Kharif
Cotton,81,49,50,6.85,126.03,29.58,47.04,Kharif
Rice,99,54,79,6.5,178.47,27.42,77.94,Kharif
Wheat,83,33,47,6.36,79.33,15.86,51.08,Rabi
Sugarcane,113,57,71,6.75,209.3,31.57,60.89,Kharif
Cotton,76,41,38,6.07,126.94,29.43,55.79,Kharif
Wheat,83,57,55,6.89,112.56,12.3,40.86,Rabi
Wheat,97,46,40,7.06,71.36,20.03,40.8,Rabi
Sugarcane,103,70,47,6.07,152.49,30.84,73.78,Zaid
Wheat,74,45,41,7.08,57.57,19.3,51.14,Rabi
Millet,51,23,31,6.38,69.91,26.94,52.19,Kharif
Cotton,66,46,42,6.58,112.4,33.04,44.0,Kharif
Cotton,84,39,25,6.45,92.79,28.77,48.57,Kharif
Wheat,65,60,54,7.48,88.96,20.85,48.33,Rabi
Rice,105,69,52,6.47,237.36,25.05,75.16,Kharif
Cotton,83,50,43,6.91,104.54,21.28,45.69,Kharif
Cotton,78,40,55,7.1,96.21,30.48,43.38,Kharif
Cotton,88,48,41,5.68,76.5,27.48,52.75,Kharif
Wheat,92,60,35,6.45,50.92,20.43,43.62,Rabi
Millet,70,35,31,6.62,83.74,25.84,37.03,Kharif
Rice,92,63,58,5.6,171.81,29.39,70.27,Kharif
Rice,102,66,51,6.52,160.2,20.04,85.34,Kharif
Millet,50,30,46,5.37,75.13,21.31,40.07,Kharif
Rice,97,50,77,6.4,183.9,33.84,82.47,Kharif
Rice,91,55,68,5.57,286.74,25.38,75.96,Kharif
Rice,85,63,46,5.62,166.29,28.99,77.94,Kharif
Rice,105,48,56,6.15,289.24,27.52,80.04,Kharif
Millet,32,46,35,5.78,75.3,25.37,43.22,Kharif
Millet,47,31,40,5.46,74.22,31.25,47.33,Kharif
Millet,66,26,36,5.69,99.0,22.3,54.99,Kharif
Sugarcane,135,47,66,7.02,221.09,27.08,61.35,Zaid
Millet,35,35,44,5.83,81.56,31.56,37.21,Kharif
Sugarcane,137,42,73,7.39,240.61,20.12,72.66,Zaid
Millet,52,46,34,6.68,66.25,25.24,36.75,Kharif
Rice,97,65,70,5.69,284.07,28.33,86.25,Kharif
Wheat,78,59,55,6.81,63.34,12.49,57.23,Rabi
Millet,49,45,26,6.77,66.63,31.87,37.04,Kharif
Rice,98,70,61,5.73,196.08,24.05,75.66,Kharif
Sugarcane,131,72,71,6.75,201.8,29.91,78.86,Zaid
Sugarcane,123,56,72,7.48,198.27,29.22,84.35,Kharif
Millet,70,20,37,5.72,60.44,26.4,36.19,Kharif
Wheat,73,42,30,7.38,67.9,15.71,54.88,Rabi
Wheat,99,52,36,7.32,74.18,17.39,43.69,Rabi
Cotton,54,43,26,5.9,91.16,26.94,54.14,Kharif
Cotton,63,52,27,6.83,147.61,21.74,43.83,Kharif
Wheat,80,54,39,7.2,82.59,21.18,44.16,Rabi
Rice,116,64,63,5.56,160.79,29.55,84.98,Kharif
Millet,56,23,23,5.27,53.88,26.22,32.73,Kharif
Sugarcane,119,67,70,7.27,210.68,31.0,80.2,Zaid
Sugarcane,91,79,43,6.9,210.43,29.78,76.82,Zaid
Maize,110,46,37,6.51,92.14,25.22,50.84,Zaid
Sugarcane,129,50,71,6.93,159.37,25.48,78.65,Zaid
Millet,47,43,40,5.85,93.93,27.22,43.46,Kharif
Maize,70,35,35,5.99,136.18,23.1,57.95,Zaid
Millet,46,29,27,6.07,58.49,27.36,40.09,Kharif
Sugarcane,122,77,51,6.36,184.87,21.19,68.6,Zaid
Rice,94,53,40,6.66,154.36,23.89,80.92,Kharif
Rice,87,60,72,5.53,240.08,32.54,76.31,Kharif
